,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
43,902967888,20200102,202001,2020,2020.0055,EDU,STUDENT,,,,,,EDU,,,,,,,,,,,,,0,10,10,1,1,0.0,3,1,3,-1.4074595355383501,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,0,,,,,,,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,20200201,https://www.amestrib.com/news/20200131/airlines-schools-put-china-travel-on-hold-as-coronavirus-outbreak-worsens-some-isu-students-coming-home
44,902967889,20200102,202001,2020,2020.0055,EDU,STUDENT,,,,,,EDU,,,,,,,,,,,,,0,10,10,1,1,0.0,3,1,3,-1.4074595355383501,3,"Des Moines, Iowa, United States",US,USIA,41.6005,-93.6091,465961,0,,,,,,,3,"Des Moines, Iowa, United States",US,USIA,41.6005,-93.6091,465961,20200201,https://www.amestrib.com/news/20200131/airlines-schools-put-china-travel-on-hold-as-coronavirus-outbreak-worsens-some-isu-students-coming-home
45,902967890,20200102,202001,2020,2020.0055,GBR,SCOTLAND,GBR,,,,,,,,,,,,,,,,,,1,12,12,1,1,-0.4,10,1,10,-1.9911504424778799,4,"Gourock, Inverclyde, United Kingdom",UK,UKV4,55.95,-4.83333,-2597360,0,,,,,,,4,"Gourock, Inverclyde, United Kingdom",UK,UKV4,55.95,-4.83333,-2597360,20200201,https://www.greenocktelegraph.co.uk/news/18195473.rail-bosses-say-services-improving---despite-500-cancellations-local-line/
46,902967891,20200102,202001,2020,2020.0055,GOV,PRESIDENT,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,0,112,112,11,3,-2.0,83,43,83,-3.9609093994521,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,https://www.oakridger.com/zz/news/20200131/senate-rejects-witnesses-in-trump-trial-ensuring-acquittal
47,902967892,20200102,202001,2020,2020.0055,GOV,PRESIDENT,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,0,112,112,11,3,-2.0,1,1,1,-2.7842227378190296,1,Russia,RS,RS,60.0,100.0,RS,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,https://www.washingtonpost.com/world/national-security/bolton-trump-asked-me-to-ensure-zelenskiy-giuliani-met/2020/01/31/e1143ba6-4470-11ea-99c7-1dfd4241a2fe_story.html
48,902967893,20200102,202001,2020,2020.0055,GOV,PRESIDENT,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,0,112,112,11,3,-2.0,21,20,21,-3.4283954112770294,1,Ukraine,UP,UP,49.0,32.0,UP,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,https://www.washingtonpost.com/world/national-security/bolton-trump-asked-me-to-ensure-zelenskiy-giuliani-met/2020/01/31/e1143ba6-4470-11ea-99c7-1dfd4241a2fe_story.html
49,902967894,20200102,202001,2020,2020.0055,GOV,PRESIDENT,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,0,112,112,11,3,-2.0,50,25,50,-4.31699283589849,1,Ukraine,UP,UP,49.0,32.0,UP,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,1,Ukraine,UP,UP,49.0,32.0,UP,20200201,https://www.oakridger.com/zz/news/20200131/senate-rejects-witnesses-in-trump-trial-ensuring-acquittal
50,902967895,20200102,202001,2020,2020.0055,LEG,CONGRESS,,,,,,LEG,,,USA,UNITED STATES,USA,,,,,,,,1,16,16,1,1,-2.0,30,4,30,-7.50347641789318,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,http://www.xinhuanet.com/english/2020-02/01/c_138746752.htm
51,902967896,20200102,202001,2020,2020.0055,LEG,CONGRESS,,,,,,LEG,,,USAGOV,THE WHITE HOUSE,USA,,,,,GOV,,,1,16,16,1,1,-2.0,5,4,5,-7.50347641789318,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,http://www.xinhuanet.com/english/2020-02/01/c_138746752.htm
52,902967897,20200102,202001,2020,2020.0055,UKR,UKRAINE,UKR,,,,,,,,GOV,PRESIDENT,,,,,,GOV,,,0,112,112,11,3,-2.0,169,55,169,-3.9320829223164795,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,20200201,https://www.washingtonpost.com/world/national-security/bolton-trump-asked-me-to-ensure-zelenskiy-giuliani-met/2020/01/31/e1143ba6-4470-11ea-99c7-1dfd4241a2fe_story.html
